,Pnc_Serotype,2009,2010,2011,2012,2013,2014,2015,NEGATIVECHARGECARBON,SURFACEKILL,CFRHARBOE,TOTALCARBONREPEAT,MEDIANFITCSIZE,X10.37.0
1,10A,3,3,4,5,6,13,18,0.02325581,,28,43,,0.00033333
2,10B,10,12,3,11,9,8,19,,,,,,
3,11A,7,13,5,13,14,17,23,0.03225806,1.46000004,39,31,478,0.04166667
4,12A,0,0,0,0,0,1,0,0.023,,25.7000008,44,,
5,12F,4,2,5,4,4,6,8,0.02380952,,18,42,,0.0575
6,13,1,2,1,3,1,3,1,0.03030303,,20.7000008,33,,0.05016667
7,15A,9,12,20,16,17,19,16,0.02857143,,27.8999996,35,,0.054
8,15BC,21,36,16,28,18,34,38,0.196,0,0,0,0,0.04508333
9,16F,4,10,9,9,6,23,18,0.02702703,,32,37,,
10,17F,1,0,0,4,6,5,11,0.02222222,,34,45,,0.05483333
11,19B,1,2,1,0,0,1,8,0.02941176,,,34,,
12,2,1,0,0,0,0,0,1,0.02777778,,14.3000002,36,,0.03283333
13,20,0,0,0,0,0,0,3,0.02380952,,21,42,,0.03033333
14,21,4,6,4,11,11,8,16,,,,,,
15,22F,2,8,2,8,2,2,11,0.02659575,,20,37.5999985,,0.07583333
16,23A,7,8,16,15,12,22,15,,,28,,,
17,23B,6,8,10,18,21,23,23,,,,,,
18,24A,0,1,0,0,0,0,0,,,,,,
19,24F,1,5,4,4,5,5,5,,,23,,,
20,27,0,0,0,1,0,0,1,0.06896552,,,29,,
21,29,0,0,0,0,0,0,1,0.03225806,,,31,,0.04716667
22,31,4,2,2,9,3,4,13,0.03333333,,44,30,,0.07125
23,33A,0,1,1,0,0,2,0,,,,,,
24,33F,0,5,5,2,6,5,10,0,,17,36.7999992,,0.0405
25,34,2,5,5,7,4,4,5,0.0333,,32.5,30,462,0.00533333
26,35A,0,2,0,0,0,0,1,0.03333333,,,30,,0.02783333
27,35B,6,8,9,11,13,19,23,0.0308642,,20.7999992,32.4000015,,0.016125
28,35F,2,4,4,4,0,2,1,0,,,12,,
29,37,1,0,0,0,0,0,0,,,18,,,0.0165
30,38,5,10,2,3,3,3,5,,,,,,
31,6C,6,12,12,4,4,2,8,0.04347826,0.97000003,21,23,478.5,0.0095
32,6D,0,0,1,0,1,0,0,,,,,,0.06533333
33,7B,0,1,0,5,3,12,11,0.02631579,,,38,,
34,7C,0,0,2,1,2,0,0,,,,,,0.062
35,8,0,1,0,0,1,4,0,0.04166667,,15,24,,0.06616667
36,9N,1,2,0,2,4,7,9,0.02941176,1,25,34,330,0.1555
37,REF,394,487,359,390,341,517,592,,,,,,
