,coef.st.fixed.od.1.2,coef.st.max.od.1.2,coef.st.lag.length.1.2,coef.growth.rate.1.2,st,
st1,-0.020836689,-0.029084187,-2.591753814,-0.008926846,st1,1
st10A,-0.031121948,0.000189946,-3.27689973,-0.025455829,st10A,10A
st10F,-0.032100134,0.010595709,-6.414613245,0.011162813,st10F,10F
st11A,-0.028612027,-0.059560948,-2.853870362,-0.080770042,st11A,11A
st11B,-0.015511599,-0.035619485,-1.863806056,-0.07473934,st11B,11B
st12F,-0.022772236,0.052958063,-2.581334918,0.04715192,st12F,12F
st13,-0.02559425,0.059253892,-5.04262189,-0.01265644,st13,13
st15A,-0.030235976,0.022791697,-5.764365895,-0.042635413,st15A,15A
st15BC,-0.025011235,-0.024293014,-4.635513623,0.025623681,st15BC,15BC
st15F,-0.030501267,-0.040741831,-4.15316765,-0.065818559,st15F,15F
st16F,-0.025692403,-0.086817748,-2.807839787,-0.018922582,st16F,16F
st17F,-0.019399905,-0.002515878,-1.110214519,-0.012906371,st17F,17F
st18A,-0.023810234,0.011526113,-3.195857673,-0.057067385,st18A,18A
st18B,-0.021567427,-0.032321491,-1.956343858,-0.078587814,st18B,18B
st18C,-0.028240543,-0.086515289,-3.825617192,-0.074518409,st18C,18C
st19A,-0.023907321,-0.016224965,-1.795710022,-0.027939392,st19A,19A
st19F,-0.014866652,-0.036670549,-2.182691182,-0.005920673,st19F,19F
st2,-0.030581502,-0.014892981,-3.02686292,-0.087517352,st2,2
st20,-0.025429178,-0.080427207,-1.867883127,-0.130203139,st20,20
st21,-0.020082261,-0.0253499,-1.034778664,-0.059324592,st21,21
st22A,-0.030174639,-0.001223932,-3.182815499,-0.020109196,st22A,22A
st22F,-0.007912582,-0.029897796,-0.092422867,-0.024989701,st22F,22F
st23A,-0.031571469,0.001538212,-4.71095188,-0.048160605,st23A,23A
st23B,-0.033317546,-0.036605505,-3.823917365,0.025454111,st23B,23B
st23F,-0.003284768,-0.020225075,-1.307359888,0.043451438,st23F,23F
st24F,-0.034194499,-0.03132683,-4.536817126,-0.013107208,st24F,24F
st27,-0.024850793,0.018296285,-5.540647921,-0.037874037,st27,27
st28F,-0.025942599,-0.033614747,-1.784560014,-0.003195276,st28F,28F
st29,-0.026292602,-0.03620325,-1.131868542,-0.109544533,st29,29
st3,-0.018558985,-0.05612167,-2.548236049,-0.086981861,st3,3
st31,-0.022245595,-0.059719417,-2.383771558,-0.065247502,st31,31
st33F,-0.024523174,0.028718515,-1.725307487,-0.049949208,st33F,33F
st34,-0.024268626,0.025355595,-3.059308225,0.025145832,st34,34
st35A,-0.023665716,-0.035312636,-3.613849846,0.012667452,st35A,35A
st35B,-0.032175918,0.012597006,-3.975698461,0.003820991,st35B,35B
st35F,-0.034168329,-0.028913188,-2.63681731,-0.000778,st35F,35F
st37,-0.02257902,-0.013295342,-6.321425857,-0.142818328,st37,37
st38,-0.02176638,-0.05192813,-0.338677492,-0.020703591,st38,38
st4,-0.009990452,0.057104167,-2.065574132,0.056383871,st4,4
st42,-0.035385507,-0.059986039,-4.776898634,-0.040365818,st42,42
st6A,0.019657437,-0.037111386,-4.745491685,-0.00150434,st6A,6A
st6B,-0.022721542,-0.048820407,-2.117805007,-0.006146363,st6B,6B
st6C,-0.030889207,-0.021182715,-5.95297003,-0.073378837,st6C,6C
st6D,-0.014406413,-0.030058307,-2.287641392,0.022201862,st6D,6D
st7C,-0.017310215,0.032512976,-1.796142389,0.006112753,st7C,7C
st7F,-0.024189152,-0.031508476,-2.912287973,-0.078387556,st7F,7F
st8,-0.025203194,-0.131097812,-1.862747523,-0.042805782,st8,8
st9,-0.03015221,-0.040512655,-1.627865211,-0.110484083,st9,9
st9N,0.034886994,-0.030386829,-0.381845683,0.000704586,st9N,9N
st9V,-0.016914816,-0.079711022,-1.137702033,0.001373231,st9V,9V
stcps-,-0.017871698,-0.030220699,-1.053071358,-0.012941343,stcps-,cps-
