agec,serotype,e2009,e2010,e2011,e2012,e2013,e2014,e2015
1,1,26,28,20,4,2,1,4
1,10A,0,3,5,5,1,5,2
1,10B,1,0,3,2,3,5,7
1,11A,0,2,1,0,0,1,1
1,12F,10,16,34,36,43,29,37
1,13,0,0,0,1,0,0,0
1,14,9,1,1,3,3,2,4
1,15A,3,1,1,3,5,2,3
1,15B,1,1,3,3,4,4,1
1,15B/C,3,3,3,4,10,4,3
1,15C,1,2,1,1,2,0,3
1,16F,0,2,1,2,2,2,5
1,17F,0,0,1,0,0,2,2
1,18C,6,2,2,0,1,1,0
1,19A,33,36,13,8,5,2,1
1,19F,8,2,1,1,2,2,0
1,2,2,0,1,1,4,0,5
1,21,1,1,1,1,1,0,3
1,22F,0,4,4,1,1,3,5
1,23A,1,0,1,1,1,0,0
1,23B,0,0,0,3,2,1,0
1,23F,10,4,1,0,0,0,0
1,24B,0,0,1,0,1,1,0
1,24F,0,3,4,3,6,5,2
1,27,2,0,1,0,1,6,6
1,29,0,0,0,1,1,0,1
1,3,3,2,5,7,3,4,2
1,31,0,0,0,0,0,1,0
1,33A,0,0,1,0,0,1,0
1,33F,4,3,6,6,12,11,11
1,34,0,0,0,1,0,0,1
1,35B,2,1,0,0,1,1,1
1,35F,0,0,1,0,0,1,0
1,38,4,3,1,2,1,1,2
1,4,2,0,0,0,0,1,0
1,5,20,67,29,5,0,0,0
1,6A,15,5,2,0,0,1,2
1,6B,12,3,1,1,0,0,0
1,6C,0,4,0,0,0,0,1
1,7B,0,0,0,1,4,5,2
1,7F,5,10,3,3,1,0,1
1,8,1,3,0,1,2,3,1
1,9A,1,0,0,0,1,0,0
1,9N,0,0,0,0,2,3,3
1,9V,3,1,0,0,0,0,0
1,ND,10,10,7,4,2,5,3
1,OMNI NEG,0,0,0,1,0,0,1
2,1,20,25,16,5,5,3,1
2,10B,2,0,0,0,1,0,0
2,11A,0,0,1,0,0,1,0
2,12F,1,2,1,2,1,3,2
2,13,0,1,0,0,0,0,0
2,14,0,1,1,1,1,1,0
2,15A,0,1,1,0,0,0,0
2,15B/C,0,1,0,0,0,0,0
2,16,0,1,0,0,0,0,0
2,17F,1,1,1,0,0,0,0
2,18C,1,1,0,0,0,0,0
2,19A,1,1,1,1,0,0,0
2,2,0,0,0,2,0,2,4
2,22F,0,0,1,1,0,0,2
2,23B,0,0,0,2,0,0,1
2,24F,0,0,1,0,2,0,0
2,27,0,1,0,0,0,0,0
2,3,0,0,2,1,0,0,0
2,31,0,0,1,0,0,0,1
2,33F,0,0,0,0,0,1,0
2,34,0,0,0,0,0,1,0
2,35B,0,0,1,0,0,0,0
2,35F,0,0,0,0,0,1,0
2,38,1,0,0,0,0,0,0
2,4,0,0,1,0,0,0,0
2,5,9,25,13,2,1,0,1
2,6A,1,0,0,0,0,0,0
2,6B,0,0,1,0,0,0,0
2,6C,0,0,0,0,1,0,0
2,7F,1,2,1,1,0,1,1
2,8,0,0,1,0,2,1,2
2,9N,1,0,0,0,1,0,1
2,9V,3,3,1,0,0,0,0
2,ND,2,4,1,0,0,1,0
2,OMNI NEG,1,0,0,0,0,0,0
3,1,18,19,11,3,4,1,0
3,10A,0,0,0,1,0,2,0
3,10B,0,0,1,0,0,0,1
3,10F,0,0,0,1,0,0,0
3,11A,0,1,1,2,1,1,0
3,12F,0,2,4,2,4,10,4
3,14,1,1,2,3,0,1,2
3,15A,1,0,1,0,0,0,0
3,15B,1,0,1,0,0,0,2
3,15B/C,0,0,0,0,0,1,0
3,16F,2,0,1,0,4,0,1
3,17F,0,0,0,1,2,0,0
3,18C,1,2,0,0,0,0,0
3,19A,3,4,1,1,1,3,1
3,19B,0,0,0,0,0,1,0
3,19F,0,0,0,0,0,0,1
3,2,2,3,1,0,2,0,4
3,20,0,0,0,1,0,0,0
3,22F,0,2,2,0,1,0,1
3,23A,1,1,0,0,0,0,0
3,23B,1,0,1,0,0,0,0
3,23F,2,0,2,1,0,0,0
3,24F,0,1,1,2,0,2,0
3,25F,0,0,1,0,0,0,0
3,3,2,1,2,3,2,1,0
3,31,0,0,1,0,1,1,0
3,33F,0,0,2,2,0,1,2
3,34,0,0,0,1,0,0,0
3,35B,1,0,0,1,0,1,0
3,35F,0,1,0,0,0,0,0
3,37,0,0,0,0,0,1,0
3,38,0,0,1,0,0,0,0
3,4,3,1,0,0,1,1,0
3,5,5,19,13,2,0,0,0
3,6A,3,2,2,0,0,0,0
3,6B,3,0,1,0,0,0,0
3,6C,0,0,1,0,0,1,0
3,7B,0,0,1,0,1,0,0
3,7C,1,0,0,0,0,0,0
3,7F,3,8,5,4,2,1,1
3,8,9,6,6,5,4,6,7
3,9A,0,0,1,0,0,0,0
3,9N,1,0,0,3,0,1,2
3,9V,3,4,0,1,0,0,0
3,ND,6,5,0,0,0,1,3
3,OMNI NEG,1,0,0,0,0,0,0
4,1,19,21,5,3,2,3,1
4,10A,0,1,3,2,3,4,3
4,10B,2,0,1,0,0,1,2
4,11A,3,3,0,4,5,1,3
4,12F,3,11,11,14,10,16,6
4,13,0,1,0,2,1,0,2
4,14,7,3,2,4,5,1,3
4,15A,3,3,2,4,5,1,4
4,15B,1,3,2,0,4,1,0
4,15B/C,1,0,3,0,1,3,1
4,16F,2,6,5,3,7,8,8
4,17F,1,1,1,2,1,1,2
4,18A,0,0,0,0,0,2,0
4,18B,0,0,1,0,0,0,0
4,18C,2,1,1,1,1,0,1
4,19A,7,17,8,6,5,5,6
4,19F,2,3,4,1,2,0,1
4,2,0,0,1,0,2,2,9
4,20,1,1,0,0,0,0,1
4,21,1,0,0,0,0,0,0
4,22A,0,0,0,1,0,0,0
4,22F,2,5,4,4,3,5,7
4,23A,0,0,1,1,1,4,4
4,23B,1,1,0,3,0,2,1
4,23F,7,3,5,1,2,0,0
4,24B,0,0,0,0,0,1,0
4,24F,0,4,1,6,3,3,1
4,25A,0,0,0,0,1,0,0
4,27,1,0,0,0,0,0,0
4,28F,0,0,0,0,0,0,1
4,3,5,6,9,8,10,3,7
4,31,1,0,1,4,1,2,3
4,33F,2,3,5,1,2,1,2
4,34,1,0,1,0,1,1,0
4,35B,0,2,2,1,2,1,1
4,35F,1,1,0,0,1,0,0
4,37,0,0,0,0,0,1,0
4,38,1,2,1,2,2,1,3
4,39,0,0,0,1,0,0,0
4,4,3,1,6,1,2,2,0
4,5,4,23,13,4,2,0,0
4,6A,4,5,1,1,1,1,0
4,6B,4,0,1,0,1,0,0
4,6C,2,0,1,5,4,1,6
4,7,1,0,0,0,0,0,0
4,7B,0,2,1,2,0,2,2
4,7F,13,8,4,8,7,6,2
4,8,10,7,5,11,8,9,25
4,9A,2,1,0,0,0,0,0
4,9L,0,0,0,1,0,0,0
4,9N,1,0,1,3,1,3,6
4,9V,13,6,1,1,0,2,1
4,ND,5,4,0,0,2,0,4
4,OMNI NEG,0,2,0,1,0,0,0
5,1,9,10,8,1,4,3,3
5,10A,0,4,2,4,3,4,4
5,10B,0,3,3,5,4,4,7
5,10F,0,0,0,0,0,1,0
5,11A,2,3,2,1,2,7,4
5,11C,0,0,1,0,0,0,0
5,12F,4,9,12,13,12,18,12
5,13,1,1,3,1,1,1,1
5,14,15,8,12,8,10,5,11
5,15A,2,7,8,13,12,10,6
5,15B,3,1,2,2,3,3,4
5,15B/C,0,2,2,1,1,3,2
5,15C,0,0,0,1,0,0,0
5,16,0,1,0,0,0,0,0
5,16F,6,13,10,11,8,13,16
5,17F,0,2,2,2,2,4,4
5,18A,0,0,0,1,0,0,0
5,18B,0,0,1,0,0,0,0
5,18C,2,2,2,2,5,1,1
5,19A,20,20,19,15,13,15,12
5,19F,8,9,6,5,8,1,2
5,2,1,0,0,0,0,2,2
5,20,0,0,0,0,0,2,1
